,FIM Recommendations
Increase Cooling Setpoints,
Decrease Heating Setpoints,X
Reduce Equipment Schedules,X
Decrease Ventilation,
Eliminate Electric Heating,
Decrease Infiltration,
Reduce Lighting Load,
Reduce Plug Loads,
Add/Fix Economizers,
Increase Cooling System Efficiency,
Increase Heating System Efficiency,
Add Wall/Ceiling Insulation,
Upgrade Windows,
Check Fossil Baseload,
