,FIM Recommendations
Increase Cooling Setpoints,X
Decrease Heating Setpoints,
Reduce Equipment Schedules,X
Decrease Ventilation,
Eliminate Electric Heating,X
Decrease Infiltration,
Reduce Lighting Load,
Reduce Plug Loads,
Add/Fix Economizers,X
Increase Cooling System Efficiency,
Increase Heating System Efficiency,X
Add Wall/Ceiling Insulation,
Upgrade Windows,
Check Fossil Baseload,
