coefficients,original_coefficients,savings_coefficients
beta_base,0.008909247946820758,0.008909247946820758
beta_cdd,,
beta_betc,,
beta_hdd,0.00013221037735655926,0.00013221037735655926
beta_beth,22.721084281204146,14.0
