,FIM Recommendations
Increase Cooling Setpoints,
Decrease Heating Setpoints,
Reduce Equipment Schedules,
Decrease Ventilation,
Eliminate Electric Heating,
Decrease Infiltration,
Reduce Lighting Load,
Reduce Plug Loads,
Add/Fix Economizers,
Increase Cooling System Efficiency,
Increase Heating System Efficiency,X
Add Wall/Ceiling Insulation,
Upgrade Windows,
Check Fossil Baseload,
