coefficients,original_coefficients,savings_coefficients
beta_base,0.009829437802515918,0.009829437802515918
beta_cdd,,
beta_betc,,
beta_hdd,0.005414627547772388,0.004258139
beta_beth,3.390652621762448,3.390652621762448
