coefficients,original_coefficients,savings_coefficients
beta_base,0.003450513165235049,0.003450513165235049
beta_cdd,,
beta_betc,,
beta_hdd,5.5277553744078856e-05,5.5277553744078856e-05
beta_beth,23.072201245788136,13.5
