Datetime,Temperature
2018-01-12 15:00:00+00:00,57.2
2018-01-24 18:00:00+00:00,68.9
2018-01-25 15:00:00+00:00,69.8
2018-01-25 18:00:00+00:00,68.9
2018-02-06 00:00:00+00:00,50.9
2018-02-06 15:00:00+00:00,52.9
2018-02-12 00:00:00+00:00,59.9
2018-02-14 15:00:00+00:00,66.0
2018-02-14 18:00:00+00:00,64.6
2018-02-17 15:00:00+00:00,70.5
2018-02-17 18:00:00+00:00,70.0
2018-02-20 15:00:00+00:00,72.5
2018-02-20 18:00:00+00:00,70.9
2018-02-21 18:00:00+00:00,71.2
2018-02-22 06:00:00+00:00,65.1
2018-02-22 18:00:00+00:00,58.6
2018-02-25 18:00:00+00:00,67.6
2018-02-27 18:00:00+00:00,68.7
2018-02-27 21:00:00+00:00,68.7
2018-03-05 18:00:00+00:00,75.2
2018-03-05 21:00:00+00:00,74.8
2018-03-09 15:00:00+00:00,59.9
2018-03-26 09:00:00+00:00,75.2
2018-04-07 00:00:00+00:00,59.0
2018-04-07 03:00:00+00:00,63.0
2018-04-11 15:00:00+00:00,76.5
2018-04-11 18:00:00+00:00,73.9
2018-04-16 15:00:00+00:00,68.9
2018-04-25 03:00:00+00:00,80.1
2018-04-29 18:00:00+00:00,77.4
2018-05-03 00:00:00+00:00,80.4
2018-05-07 12:00:00+00:00,86.7
2018-05-11 09:00:00+00:00,88.7
2018-06-04 21:00:00+00:00,80.1
2018-06-05 00:00:00+00:00,84.0
2018-06-06 15:00:00+00:00,77.7
2018-06-26 18:00:00+00:00,78.3
2018-06-26 21:00:00+00:00,78.6
2018-06-27 00:00:00+00:00,81.9
2018-06-27 03:00:00+00:00,87.6
2018-06-27 06:00:00+00:00,91.4
2018-06-27 09:00:00+00:00,81.1
2018-06-27 12:00:00+00:00,80.4
2018-07-02 15:00:00+00:00,83.7
2018-07-02 18:00:00+00:00,82.2
2018-07-02 21:00:00+00:00,80.8
2018-07-03 00:00:00+00:00,85.1
2018-07-03 03:00:00+00:00,92.3
