Datetime,Temperature
2017-01-02 03:00:00+00:00,73.6
2017-01-02 09:00:00+00:00,70.5
2017-01-02 15:00:00+00:00,67.5
2017-01-02 21:00:00+00:00,64.9
2017-01-03 03:00:00+00:00,74.8
2017-01-03 09:00:00+00:00,73.6
2017-01-03 15:00:00+00:00,68.9
2017-01-03 21:00:00+00:00,68.4
2017-01-04 03:00:00+00:00,73.9
2017-01-04 09:00:00+00:00,71.4
2017-01-04 15:00:00+00:00,69.3
2017-01-04 21:00:00+00:00,69.3
2017-01-05 00:00:00+00:00,69.3
2017-01-05 03:00:00+00:00,73.8
2017-01-05 09:00:00+00:00,75.4
2017-01-05 15:00:00+00:00,70.3
2017-01-05 21:00:00+00:00,69.8
2017-01-06 03:00:00+00:00,72.9
2017-01-06 09:00:00+00:00,71.8
2017-01-06 15:00:00+00:00,70.5
2017-01-06 21:00:00+00:00,71.6
2017-01-07 03:00:00+00:00,74.8
2017-01-07 09:00:00+00:00,72.5
2017-01-07 15:00:00+00:00,71.6
2017-01-07 21:00:00+00:00,71.1
2017-01-08 03:00:00+00:00,73.0
2017-01-08 09:00:00+00:00,75.7
2017-01-08 15:00:00+00:00,70.9
2017-01-08 21:00:00+00:00,69.8
2017-01-09 03:00:00+00:00,71.2
2017-01-09 09:00:00+00:00,70.7
2017-01-09 15:00:00+00:00,70.7
2017-01-09 21:00:00+00:00,70.2
2017-01-10 03:00:00+00:00,74.8
2017-01-10 09:00:00+00:00,71.6
2017-01-10 15:00:00+00:00,71.4
2017-01-10 21:00:00+00:00,70.3
2017-01-11 03:00:00+00:00,71.4
2017-01-11 09:00:00+00:00,69.6
2017-01-11 15:00:00+00:00,69.3
2017-01-11 21:00:00+00:00,70.0
2017-01-12 03:00:00+00:00,71.4
2017-01-12 09:00:00+00:00,69.6
2017-01-12 15:00:00+00:00,61.0
2017-01-12 21:00:00+00:00,57.6
2017-01-13 03:00:00+00:00,57.2
2017-01-13 09:00:00+00:00,58.1
2017-01-13 15:00:00+00:00,59.4
2017-01-13 21:00:00+00:00,61.3
2017-01-14 03:00:00+00:00,62.6
2017-01-14 09:00:00+00:00,63.3
2017-01-14 15:00:00+00:00,63.9
2017-01-14 21:00:00+00:00,63.0
2017-01-15 03:00:00+00:00,63.7
2017-01-15 09:00:00+00:00,62.4
2017-01-15 15:00:00+00:00,61.2
2017-01-15 18:00:00+00:00,60.8
2017-01-15 21:00:00+00:00,61.2
2017-01-16 03:00:00+00:00,62.8
2017-01-16 09:00:00+00:00,64.9
2017-01-16 15:00:00+00:00,66.6
2017-01-16 21:00:00+00:00,68.0
2017-01-17 03:00:00+00:00,68.7
2017-01-17 09:00:00+00:00,68.2
2017-01-17 15:00:00+00:00,68.5
2017-01-17 21:00:00+00:00,68.0
2017-01-18 03:00:00+00:00,72.0
2017-01-18 15:00:00+00:00,68.9
2017-01-18 21:00:00+00:00,68.7
2017-01-19 03:00:00+00:00,69.8
2017-01-19 09:00:00+00:00,72.3
2017-01-19 15:00:00+00:00,68.4
2017-01-19 21:00:00+00:00,67.5
2017-01-20 03:00:00+00:00,65.7
2017-01-20 09:00:00+00:00,64.4
2017-01-20 15:00:00+00:00,64.8
2017-01-20 21:00:00+00:00,63.5
2017-01-21 03:00:00+00:00,63.7
2017-01-21 09:00:00+00:00,64.0
2017-01-21 15:00:00+00:00,63.1
2017-01-21 21:00:00+00:00,63.3
2017-01-22 03:00:00+00:00,67.3
2017-01-22 09:00:00+00:00,66.6
2017-01-22 15:00:00+00:00,60.8
2017-01-22 21:00:00+00:00,61.7
2017-01-23 03:00:00+00:00,67.5
2017-01-23 09:00:00+00:00,66.9
2017-01-23 15:00:00+00:00,65.1
2017-01-23 21:00:00+00:00,65.8
2017-01-24 03:00:00+00:00,67.5
2017-01-24 09:00:00+00:00,66.9
2017-01-24 15:00:00+00:00,66.9
2017-01-24 21:00:00+00:00,64.8
2017-01-25 03:00:00+00:00,67.1
2017-01-25 09:00:00+00:00,68.2
2017-01-25 15:00:00+00:00,64.4
2017-01-25 21:00:00+00:00,62.4
2017-01-26 03:00:00+00:00,69.4
2017-01-26 09:00:00+00:00,68.9
2017-01-26 15:00:00+00:00,64.4
2017-01-26 21:00:00+00:00,62.8
2017-01-27 00:00:00+00:00,64.2
2017-01-27 03:00:00+00:00,71.2
2017-01-27 06:00:00+00:00,71.8
2017-01-27 09:00:00+00:00,68.2
2017-01-27 15:00:00+00:00,62.6
2017-01-27 21:00:00+00:00,59.9
2017-01-28 03:00:00+00:00,72.3
2017-01-28 09:00:00+00:00,70.7
2017-01-28 15:00:00+00:00,67.5
2017-01-28 21:00:00+00:00,66.2
2017-01-29 03:00:00+00:00,72.7
