Datetime,Temperature
2013-01-01 03:00:00+00:00,42.6
2013-01-01 09:00:00+00:00,52.7
2013-01-01 21:00:00+00:00,35.8
2013-01-02 03:00:00+00:00,41.0
2013-01-02 09:00:00+00:00,43.5
2013-01-02 21:00:00+00:00,37.6
2013-01-03 03:00:00+00:00,36.1
2013-01-03 09:00:00+00:00,35.8
2013-01-03 21:00:00+00:00,35.1
2013-01-04 03:00:00+00:00,37.2
2013-01-04 09:00:00+00:00,38.3
2013-01-04 21:00:00+00:00,36.9
2013-01-05 03:00:00+00:00,38.1
2013-01-05 09:00:00+00:00,39.6
2013-01-05 21:00:00+00:00,34.3
2013-01-06 03:00:00+00:00,39.2
2013-01-06 09:00:00+00:00,42.1
2013-01-06 21:00:00+00:00,32.0
2013-01-07 03:00:00+00:00,34.5
2013-01-07 09:00:00+00:00,46.6
2013-01-07 21:00:00+00:00,33.4
2013-01-08 03:00:00+00:00,38.5
2013-01-08 09:00:00+00:00,45.7
2013-01-08 21:00:00+00:00,37.8
2013-01-09 03:00:00+00:00,43.2
2013-01-09 09:00:00+00:00,48.2
2013-01-09 21:00:00+00:00,32.2
2013-01-10 03:00:00+00:00,37.8
2013-01-10 09:00:00+00:00,46.4
2013-01-10 21:00:00+00:00,37.0
2013-01-11 03:00:00+00:00,41.7
2013-01-11 09:00:00+00:00,50.2
2013-01-11 21:00:00+00:00,37.9
2013-01-12 03:00:00+00:00,44.2
2013-01-12 09:00:00+00:00,53.6
2013-01-12 21:00:00+00:00,37.6
2013-01-13 03:00:00+00:00,43.0
2013-01-13 09:00:00+00:00,48.7
2013-01-13 21:00:00+00:00,43.2
2013-01-14 03:00:00+00:00,44.1
2013-01-14 09:00:00+00:00,44.1
2013-01-14 21:00:00+00:00,43.3
2013-01-15 03:00:00+00:00,45.9
2013-01-15 09:00:00+00:00,51.4
2013-01-15 21:00:00+00:00,44.1
2013-01-16 03:00:00+00:00,45.9
2013-01-16 09:00:00+00:00,49.6
2013-01-16 21:00:00+00:00,44.1
2013-01-17 03:00:00+00:00,47.3
2013-01-17 09:00:00+00:00,52.3
2013-01-17 21:00:00+00:00,45.0
2013-01-18 03:00:00+00:00,46.8
2013-01-18 09:00:00+00:00,52.2
2013-01-18 21:00:00+00:00,46.4
2013-01-19 03:00:00+00:00,46.9
2013-01-19 09:00:00+00:00,48.4
2013-01-19 21:00:00+00:00,45.9
2013-01-20 03:00:00+00:00,49.3
2013-01-20 09:00:00+00:00,51.6
2013-01-20 21:00:00+00:00,44.6
2013-01-21 03:00:00+00:00,50.2
2013-01-21 09:00:00+00:00,55.9
2013-01-21 21:00:00+00:00,44.2
2013-01-22 03:00:00+00:00,52.7
2013-01-22 09:00:00+00:00,57.6
2013-01-22 21:00:00+00:00,37.4
2013-01-23 03:00:00+00:00,48.0
2013-01-23 09:00:00+00:00,57.2
2013-01-23 21:00:00+00:00,40.3
2013-01-24 03:00:00+00:00,48.2
2013-01-24 09:00:00+00:00,58.6
2013-01-24 21:00:00+00:00,38.7
2013-01-25 03:00:00+00:00,48.7
2013-01-25 09:00:00+00:00,59.2
2013-01-25 21:00:00+00:00,41.2
2013-01-26 03:00:00+00:00,50.0
2013-01-26 09:00:00+00:00,61.3
2013-01-26 21:00:00+00:00,44.1
2013-01-27 03:00:00+00:00,52.7
2013-01-27 09:00:00+00:00,61.7
2013-01-27 21:00:00+00:00,51.6
2013-01-28 03:00:00+00:00,55.2
2013-01-28 09:00:00+00:00,63.7
2013-01-28 21:00:00+00:00,44.4
2013-01-29 03:00:00+00:00,52.0
2013-01-29 09:00:00+00:00,59.5
2013-01-29 21:00:00+00:00,51.8
2013-01-30 03:00:00+00:00,54.7
2013-01-30 09:00:00+00:00,62.2
2013-01-30 21:00:00+00:00,45.1
2013-01-31 03:00:00+00:00,51.1
2013-01-31 09:00:00+00:00,62.1
2013-01-31 21:00:00+00:00,46.9
2013-02-01 03:00:00+00:00,57.0
2013-02-01 09:00:00+00:00,63.9
2013-02-01 21:00:00+00:00,49.8
2013-02-02 03:00:00+00:00,55.8
2013-02-02 09:00:00+00:00,64.0
2013-02-02 21:00:00+00:00,52.5
2013-02-03 03:00:00+00:00,53.1
2013-02-03 09:00:00+00:00,64.4
2013-02-03 21:00:00+00:00,47.7
2013-02-04 03:00:00+00:00,52.3
2013-02-04 09:00:00+00:00,66.2
2013-02-04 21:00:00+00:00,47.3
2013-02-05 03:00:00+00:00,58.3
2013-02-05 09:00:00+00:00,66.6
2013-02-05 21:00:00+00:00,55.4
2013-02-06 03:00:00+00:00,57.9
2013-02-06 09:00:00+00:00,64.2
2013-02-06 21:00:00+00:00,55.8
2013-02-07 03:00:00+00:00,58.3
2013-02-07 09:00:00+00:00,58.1
2013-02-07 21:00:00+00:00,44.8
2013-02-08 03:00:00+00:00,41.4
2013-02-08 09:00:00+00:00,41.5
2013-02-08 21:00:00+00:00,41.0
2013-02-09 09:00:00+00:00,50.0
2013-02-09 21:00:00+00:00,36.9
2013-02-10 03:00:00+00:00,41.4
2013-02-10 09:00:00+00:00,54.9
2013-02-10 21:00:00+00:00,43.9
2013-02-11 03:00:00+00:00,47.5
2013-02-11 09:00:00+00:00,53.6
2013-02-11 21:00:00+00:00,46.9
2013-02-12 03:00:00+00:00,50.0
2013-02-12 09:00:00+00:00,51.1
2013-02-12 21:00:00+00:00,45.3
2013-02-13 03:00:00+00:00,46.8
2013-02-13 09:00:00+00:00,46.6
2013-02-13 21:00:00+00:00,45.3
2013-02-14 03:00:00+00:00,48.2
2013-02-14 09:00:00+00:00,52.3
2013-02-14 21:00:00+00:00,47.5
2013-02-15 03:00:00+00:00,50.5
2013-02-15 09:00:00+00:00,57.4
2013-02-15 21:00:00+00:00,46.8
2013-02-16 03:00:00+00:00,54.5
2013-02-16 09:00:00+00:00,61.0
2013-02-16 21:00:00+00:00,52.3
2013-02-17 03:00:00+00:00,55.4
2013-02-17 09:00:00+00:00,62.4
2013-02-17 21:00:00+00:00,53.6
2013-02-18 03:00:00+00:00,53.4
2013-02-18 09:00:00+00:00,52.3
2013-02-18 21:00:00+00:00,41.9
2013-02-19 03:00:00+00:00,45.3
2013-02-19 09:00:00+00:00,50.4
2013-02-19 21:00:00+00:00,46.4
2013-02-20 03:00:00+00:00,46.4
2013-02-20 09:00:00+00:00,50.0
2013-02-20 21:00:00+00:00,47.1
2013-02-21 03:00:00+00:00,48.4
2013-02-21 09:00:00+00:00,54.1
2013-02-21 21:00:00+00:00,46.4
2013-02-22 03:00:00+00:00,52.7
2013-02-22 09:00:00+00:00,59.9
2013-02-22 21:00:00+00:00,43.0
2013-02-23 03:00:00+00:00,54.3
2013-02-23 09:00:00+00:00,60.6
2013-02-23 21:00:00+00:00,51.4
2013-02-24 03:00:00+00:00,55.6
2013-02-24 09:00:00+00:00,62.4
2013-02-24 21:00:00+00:00,50.9
2013-02-25 03:00:00+00:00,55.8
2013-02-25 09:00:00+00:00,65.3
2013-02-25 21:00:00+00:00,48.2
2013-02-26 03:00:00+00:00,59.9
2013-02-26 09:00:00+00:00,69.6
2013-02-26 21:00:00+00:00,47.5
2013-02-27 03:00:00+00:00,59.0
2013-02-27 09:00:00+00:00,70.0
