Datetime,Temperature
2013-03-10 06:00:00+00:00,57.6
2013-03-10 12:00:00+00:00,56.8
2013-03-24 12:00:00+00:00,62.2
2013-03-28 06:00:00+00:00,68.0
2013-04-18 06:00:00+00:00,67.8
2013-05-05 09:00:00+00:00,72.7
2013-05-24 21:00:00+00:00,62.8
2013-05-28 18:00:00+00:00,52.9
2013-05-30 00:00:00+00:00,58.5
2013-05-31 00:00:00+00:00,62.2
2013-06-04 12:00:00+00:00,81.5
2013-06-05 06:00:00+00:00,82.0
2013-07-01 09:00:00+00:00,87.4
2013-07-17 12:00:00+00:00,74.5
2013-08-05 06:00:00+00:00,89.4
2013-09-29 12:00:00+00:00,73.9
2013-10-02 03:00:00+00:00,64.2
2013-10-04 03:00:00+00:00,64.8
2013-10-05 03:00:00+00:00,66.4
2013-10-06 03:00:00+00:00,64.9
2013-10-18 06:00:00+00:00,65.1
2013-11-03 12:00:00+00:00,50.7
2013-11-22 00:00:00+00:00,39.4
2013-11-22 03:00:00+00:00,34.3
