Datetime,Temperature
2014-01-09 06:00:00+00:00,29.3
2014-01-21 12:00:00+00:00,28.9
2014-01-21 15:00:00+00:00,23.0
2014-02-27 00:00:00+00:00,29.8
2014-03-01 06:00:00+00:00,45.5
2014-03-11 06:00:00+00:00,51.3
2014-03-12 00:00:00+00:00,33.4
2014-03-12 03:00:00+00:00,39.4
2014-04-04 15:00:00+00:00,54.1
2014-04-05 09:00:00+00:00,66.6
2014-04-05 12:00:00+00:00,61.0
2014-04-16 06:00:00+00:00,63.5
2014-05-08 00:00:00+00:00,58.1
2014-05-08 03:00:00+00:00,70.0
2014-05-15 06:00:00+00:00,64.9
2014-05-18 15:00:00+00:00,53.1
2014-05-18 18:00:00+00:00,53.4
2014-05-18 21:00:00+00:00,51.1
2014-05-25 15:00:00+00:00,63.3
2014-05-25 18:00:00+00:00,57.4
2014-05-27 06:00:00+00:00,77.7
2014-05-27 12:00:00+00:00,73.8
2014-05-29 03:00:00+00:00,77.0
2014-05-29 06:00:00+00:00,84.0
2014-06-11 12:00:00+00:00,74.1
2014-06-12 15:00:00+00:00,57.0
2014-06-12 21:00:00+00:00,57.6
2014-06-14 06:00:00+00:00,77.9
2014-06-20 06:00:00+00:00,72.0
2014-06-25 06:00:00+00:00,78.3
2014-07-09 15:00:00+00:00,64.2
2014-07-17 12:00:00+00:00,84.7
2014-07-20 06:00:00+00:00,77.7
2014-08-17 06:00:00+00:00,79.5
2014-08-21 06:00:00+00:00,65.7
2014-09-15 18:00:00+00:00,61.0
2014-09-27 21:00:00+00:00,51.6
2014-09-30 03:00:00+00:00,63.9
2014-10-06 03:00:00+00:00,62.6
2014-10-07 09:00:00+00:00,71.2
2014-11-17 00:00:00+00:00,29.3
2014-11-23 15:00:00+00:00,38.8
2014-11-30 03:00:00+00:00,25.9
2014-12-03 12:00:00+00:00,28.9
