Datetime,Temperature
2015-12-01 09:00:00+00:00,49.8
2015-12-01 21:00:00+00:00,48.2
2015-12-02 03:00:00+00:00,46.8
2015-12-02 09:00:00+00:00,47.7
2015-12-02 21:00:00+00:00,43.5
2015-12-03 03:00:00+00:00,48.2
2015-12-03 09:00:00+00:00,48.4
2015-12-03 21:00:00+00:00,41.4
2015-12-04 03:00:00+00:00,41.0
2015-12-04 09:00:00+00:00,40.6
2015-12-04 21:00:00+00:00,36.3
2015-12-05 03:00:00+00:00,39.9
2015-12-05 09:00:00+00:00,42.3
2015-12-05 21:00:00+00:00,41.5
2015-12-06 03:00:00+00:00,43.3
2015-12-06 09:00:00+00:00,49.1
2015-12-06 21:00:00+00:00,44.2
2015-12-07 03:00:00+00:00,51.3
2015-12-07 09:00:00+00:00,52.3
2015-12-07 21:00:00+00:00,42.4
2015-12-08 03:00:00+00:00,44.1
2015-12-08 09:00:00+00:00,45.9
2015-12-08 21:00:00+00:00,41.9
2015-12-09 03:00:00+00:00,45.1
2015-12-09 09:00:00+00:00,48.7
2015-12-09 21:00:00+00:00,45.3
2015-12-10 03:00:00+00:00,48.6
2015-12-10 09:00:00+00:00,53.8
2015-12-10 21:00:00+00:00,44.8
2015-12-11 03:00:00+00:00,40.8
2015-12-11 09:00:00+00:00,40.5
2015-12-11 21:00:00+00:00,39.0
2015-12-12 03:00:00+00:00,40.3
2015-12-12 09:00:00+00:00,41.4
2015-12-12 21:00:00+00:00,40.3
2015-12-13 03:00:00+00:00,42.4
2015-12-13 09:00:00+00:00,44.1
2015-12-13 21:00:00+00:00,42.1
2015-12-14 03:00:00+00:00,42.4
2015-12-14 09:00:00+00:00,42.6
2015-12-14 21:00:00+00:00,37.4
2015-12-15 03:00:00+00:00,39.2
2015-12-15 09:00:00+00:00,38.8
2015-12-15 21:00:00+00:00,34.5
2015-12-16 03:00:00+00:00,38.7
2015-12-16 09:00:00+00:00,43.3
2015-12-16 21:00:00+00:00,34.5
2015-12-17 03:00:00+00:00,40.5
2015-12-17 09:00:00+00:00,43.3
2015-12-17 21:00:00+00:00,36.3
2015-12-18 03:00:00+00:00,37.9
2015-12-18 09:00:00+00:00,37.9
2015-12-18 21:00:00+00:00,32.5
2015-12-19 03:00:00+00:00,34.3
2015-12-19 09:00:00+00:00,33.8
2015-12-19 21:00:00+00:00,33.1
2015-12-20 03:00:00+00:00,36.0
2015-12-20 09:00:00+00:00,40.1
2015-12-20 21:00:00+00:00,39.0
2015-12-21 03:00:00+00:00,43.9
2015-12-21 09:00:00+00:00,46.2
2015-12-21 21:00:00+00:00,41.5
2015-12-22 03:00:00+00:00,42.8
2015-12-22 09:00:00+00:00,45.7
2015-12-22 21:00:00+00:00,42.6
2015-12-23 03:00:00+00:00,43.2
2015-12-23 09:00:00+00:00,43.9
2015-12-23 21:00:00+00:00,40.3
2015-12-24 03:00:00+00:00,43.3
2015-12-24 09:00:00+00:00,44.6
2015-12-24 21:00:00+00:00,41.5
2015-12-25 03:00:00+00:00,43.2
2015-12-25 09:00:00+00:00,45.3
2015-12-25 21:00:00+00:00,41.2
2015-12-26 03:00:00+00:00,43.5
2015-12-26 09:00:00+00:00,46.0
2015-12-26 21:00:00+00:00,36.0
2015-12-27 03:00:00+00:00,39.2
2015-12-27 09:00:00+00:00,50.0
2015-12-27 21:00:00+00:00,43.7
2015-12-28 03:00:00+00:00,45.1
2015-12-28 09:00:00+00:00,44.1
2015-12-28 21:00:00+00:00,40.8
2015-12-29 03:00:00+00:00,42.3
2015-12-29 09:00:00+00:00,42.6
2015-12-29 21:00:00+00:00,42.1
2015-12-30 03:00:00+00:00,44.2
2015-12-30 09:00:00+00:00,46.4
2015-12-30 21:00:00+00:00,41.0
2015-12-31 03:00:00+00:00,46.4
2015-12-31 09:00:00+00:00,50.5
2015-12-31 21:00:00+00:00,44.4
